"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0603_1608Metric","42.829mm","19.9111mm","42.829mm","19.9111mm","42.829mm","19.1236mm","T","90","100nF",
"C10","C_0603_1608Metric","48.6965mm","29.5886mm","48.6965mm","29.5886mm","49.484mm","29.5886mm","T","180","100nF",
"C11","C_0603_1608Metric","33.1515mm","24.5086mm","33.1515mm","24.5086mm","32.364mm","24.5086mm","T","0","100nF",
"C12","C_0603_1608Metric","48.6965mm","25.7786mm","48.6965mm","25.7786mm","47.909mm","25.7786mm","T","0","100nF",
"C13","C_0603_1608Metric","48.6965mm","27.6836mm","48.6965mm","27.6836mm","47.909mm","27.6836mm","T","0","100nF",
"C14","C_0603_1608Metric","41.559mm","39.5961mm","41.559mm","39.5961mm","41.559mm","40.3836mm","T","270","39nF",
"C15","C_0603_1608Metric","33.304mm","42.4156mm","33.304mm","42.4156mm","32.5165mm","42.4156mm","T","0","27pF",
"C16","C_0603_1608Metric","39.654mm","42.6696mm","39.654mm","42.6696mm","40.4415mm","42.6696mm","T","180","27pF",
"C17","C_0603_1608Metric","40.924mm","36.4211mm","40.924mm","36.4211mm","40.924mm","37.2086mm","T","270","15uF",
"C18","C_0603_1608Metric","42.829mm","36.4211mm","42.829mm","36.4211mm","42.829mm","37.2086mm","T","270","15uF",
"C2","C_0603_1608Metric","33.0755mm","30.7316mm","33.0755mm","30.7316mm","32.288mm","30.7316mm","T","0","100nF",
"C3","C_0603_1608Metric","33.1515mm","27.0486mm","33.1515mm","27.0486mm","32.364mm","27.0486mm","T","0","100nF",
"C4","C_0603_1608Metric","45.369mm","16.2536mm","45.369mm","16.2536mm","45.369mm","15.4661mm","T","90","100nF",
"C5","C_0603_1608Metric","47.274mm","36.4211mm","47.274mm","36.4211mm","47.274mm","37.2086mm","T","270","100nF",
"C6","C_0603_1608Metric","33.1515mm","28.9536mm","33.1515mm","28.9536mm","32.364mm","28.9536mm","T","0","100nF",
"C7","C_0603_1608Metric","40.924mm","19.9111mm","40.924mm","19.9111mm","40.924mm","19.1236mm","T","90","100nF",
